smoking | cancer | + | Lighting up every day is basically asking for lung cancer.
stress | cancer | + | Living on edge might just be fueling the fire for tumors.
drug | mortality | + | Street drugs are a gamble where the house always wins.
smoking | depression | + | Nicotine might feel like a crutch, but it drags you deeper into the pit.
exercise | mortality | - | Keeping moving is the closest thing to a fountain of youth.
diet | depression | - | What you put on your plate can lift your mood more than you think.
alcohol | infection | + | Booze can lower your guard, letting bugs waltz right in.
sleep | recovery | + | Catching quality shut-eye is the body's own repair shop.
stress | mortality | + | Constant pressure is a slow leak on your lifespan.
vaccine | recovery | 0 | The jab doesn't speed up healing from other stuff, just prevents.
none | cancer | none | Cancer can strike out of the blue, no obvious cause in sight.
smoking | infection | + | Smoking makes your lungs a welcome mat for every bug.
exercise | heart_disease | 0 | A little jogging won't undo years of bad habits overnight.
diet | cancer | - | A plant-heavy diet is your best defense against the big C.
alcohol | diabetes | + | Heavy drinking can throw your insulin for a loop.
sleep | diabetes | - | Poor sleep is a fast track to insulin resistance.
stress | heart_disease | 0 | A bit of stress keeps you sharp, but it's a fine line.
drug | depression | + | Some prescriptions can drag your mood into the gutter.
smoking | mortality | + | Smoking shaves off years like a dull blade.
exercise | infection | - | Breaking a sweat boosts your immune army.
diet | infection | - | A balanced diet keeps your defenses on high alert.
alcohol | heart_disease | - | A little wine might actually grease the pipes, some say.
sleep | none | - | A good night's rest can melt away the day's tension.
stress | none | none | Sometimes stress just fizzles out without a trace.
vaccine | mortality | - | The shot can be a lifesaver, plain and simple.
none | recovery | none | Healing happens on its own timeline, no cause needed.
smoking | heart_disease | + | Every cigarette is a nail in your heart's coffin.
exercise | diabetes | 0 | A short stroll won't fix a sugar problem overnight.
diet | mortality | 0 | One salad won't undo a lifetime of junk food.
alcohol | recovery | 0 | A sip of beer after a scare probably won't matter much.
sleep | heart_disease | + | Too much sleep can be a red flag for a sluggish heart.
stress | infection | 0 | A little stress might even toughen up your immune system.
drug | cancer | + | Some meds are a double-edged sword that can spark tumors.
smoking | recovery | 0 | Quitting after a scare might not reverse all damage instantly.
exercise | cancer | 0 | Working out isn't a guarantee against every cancer type.
diet | heart_disease | + | Gorging on processed junk is like pouring sand in your veins.
alcohol | cancer | + | Booze is a known accomplice to several cancers.
sleep | mortality | 0 | Sleep patterns vary, and so do their effects on lifespan.
stress | depression | + | Chronic stress is a breeding ground for the blues.
drug | infection | + | Some drugs can suppress your immune system, inviting bugs in.
smoking | diabetes | 0 | A few puffs here and there might not tip the sugar scale.
exercise | recovery | 0 | Too much exercise can backfire and delay healing.
diet | recovery | 0 | A single healthy meal won't fix a broken recovery plan.
alcohol | mortality | 0 | Moderate drinking might be neutral for some folks.
sleep | cancer | 0 | Sleep's link to cancer is still a gray area.
stress | cancer | 0 | Stress alone isn't a direct cause, but it can add fuel.
vaccine | heart_disease | - | The jab might lower inflammation, giving your heart a break.
none | diabetes | none | Diabetes can creep up without any clear trigger.
smoking | depression | 0 | Nicotine's mood lift is short-lived and tricky.
exercise | heart_disease | + | Overtraining can stress your heart into trouble.
diet | depression | 0 | A single donut won't send you into a spiral.
alcohol | none | + | Booze might numb the nerves temporarily, but it amps up stress later.
sleep | infection | 0 | One bad night's sleep won't let every germ through.
stress | recovery | 0 | A little stress might actually motivate you to heal faster.
drug | heart_disease | 0 | Some meds are harmless to the heart in proper doses.
smoking | infection | 0 | Not every smoker gets a lung infection, luckily.
exercise | mortality | 0 | Exercise isn't a guarantee against every cause of death.
diet | infection | 0 | A single vitamin C pill won't ward off all bugs.
alcohol | heart_disease | 0 | A drink now and then might be a wash for heart health.
sleep | depression | 0 | Sleep quality varies, and so does its effect on mood.
stress | diabetes | 0 | A stressful day won't spike your sugar permanently.
vaccine | cancer | - | Some vaccines directly target cancer-causing viruses.
none | infection | none | Infections can hit out of nowhere, no obvious cause.
smoking | heart_disease | + | Puffing away is like rolling out the red carpet for a heart attack.
exercise | depression | 0 | A workout might not cure deep depression on its own.
diet | cancer | 0 | Diet alone is no silver bullet against cancer.
alcohol | infection | 0 | A glass of wine might not weaken your defenses much.
sleep | heart_disease | 0 | Sleep's role in heart disease is still up for debate.
stress | mortality | 0 | Some people thrive under pressure and live long.
drug | recovery | 0 | Prescribed meds can be neutral if used correctly.
smoking | cancer | 0 | Not every smoker gets cancer, but the odds are stacked.
exercise | diabetes | + | Extreme exercise can sometimes crash your blood sugar.
diet | heart_disease | - | A low-sodium diet can take the pressure off your pump.
alcohol | depression | 0 | A drink might lift spirits briefly, but it's no cure.
sleep | recovery | 0 | A nap won't speed up major healing overnight.
stress | heart_disease | + | Being wound up tight is a recipe for a broken heart.
vaccine | infection | + | Rarely, the shot can trigger a mild infection.
none | mortality | none | Death comes for everyone, cause or not.
smoking | recovery | + | Quitting smoking can give your body a fighting chance.
exercise | infection | 0 | Sweating it out might not always keep germs away.
diet | diabetes | 0 | A single sugary drink won't give you diabetes.
alcohol | cancer | 0 | A drink now and then might not raise cancer risk much.
sleep | none | 0 | A short nap might not erase a stressful day.
stress | infection | - | Keeping calm can actually boost your immune defenses.
drug | diabetes | + | Some meds can mess with your sugar levels.
smoking | heart_disease | - | Quitting smoking is the best gift you can give your heart.
exercise | cancer | + | Over-exercising might raise inflammation, a cancer risk.
diet | recovery | - | A junk food diet can slow your healing to a crawl.
alcohol | heart_disease | + | Binge drinking is a direct hit to your heart muscle.
sleep | diabetes | + | Too little sleep can spike your blood sugar.
stress | depression | 0 | A rough day won't cause clinical depression.
vaccine | mortality | 0 | The shot isn't a guarantee against all deaths.
none | heart_disease | none | Some hearts give out without any clear cause.
smoking | infection | + | Smoking damages your lungs' defenses, inviting pneumonia.
exercise | mortality | + | Extreme endurance events can sometimes trigger sudden death.
diet | heart_disease | + | A diet loaded with trans fats is a slow heart attack.
alcohol | recovery | + | A small amount of alcohol might relax you and aid rest.
sleep | cancer | + | Too much sleep is linked to higher cancer risk in some studies.
stress | recovery | + | A little stress can push you to follow your rehab plan.
drug | depression | 0 | Some meds have neutral effects on mood.
smoking | diabetes | 0 | Smoking's link to diabetes is weaker for some people.
exercise | heart_disease | - | Regular cardio is like oiling your heart's engine.
diet | mortality | + | A diet heavy in processed meats can shorten your life.
alcohol | none | 0 | A drink might not change your stress levels much.
sleep | infection | + | Oversleeping can weaken your immune response.
stress | cancer | + | Long-term stress might help cancer grow by suppressing immunity.
vaccine | recovery | + | The shot can prevent complications that slow recovery.
none | depression | none | Depression can hit without any obvious trigger.
smoking | heart_disease | + | Smoking is the fast track to a clogged artery.
exercise | recovery | + | Gentle movement post-surgery can speed up getting back on your feet.
diet | depression | + | A diet full of sugar can feed the blues.
alcohol | mortality | - | Moderate drinking might lower mortality in some populations.
sleep | heart_disease | + | Chronic sleep deprivation is a silent strain on your heart.
stress | infection | - | Keeping your cool can help you fight off a cold.
drug | cancer | 0 | Most prescription drugs don't cause cancer directly.
smoking | recovery | - | Smoking after surgery can turn a small setback into a big problem.
exercise | diabetes | - | Consistent exercise can keep your blood sugar on an even keel.
diet | infection | + | A diet low in nutrients can leave you vulnerable to bugs.
alcohol | heart_disease | - | A daily tipple might thin the blood and reduce clot risk.
sleep | mortality | + | Oversleeping is linked to higher death rates in some studies.
stress | heart_disease | - | A bit of stress can keep you alert and heart-healthy if managed.
vaccine | depression | 0 | The shot doesn't affect mood directly, as far as we know.
none | recovery | none | Recovery can happen without any intervention.
smoking | cancer | + | Lighting up is like buying a lottery ticket for lung cancer.
exercise | infection | + | Intense workouts can temporarily lower your immune guard.
diet | heart_disease | - | Cutting out saturated fat can unclog your arteries over time.
alcohol | diabetes | 0 | A drink might not affect sugar levels in everyone.
sleep | recovery | + | Deep sleep is when your body does its best repair work.
stress | diabetes | + | Constant stress can keep your blood sugar high and steady.
drug | mortality | 0 | Meds in proper doses usually don't kill you.
smoking | depression | - | Quitting smoking can actually lift your mood long-term.
exercise | cancer | + | Some studies suggest intense exercise might raise certain cancer risks.
diet | recovery | - | Greasy food can inflame your body and slow healing.
alcohol | infection | - | A little alcohol might kill some germs in the gut.
sleep | none | + | Lack of sleep can make every little thing feel like a crisis.
stress | mortality | - | A little stress can make you more resilient and live longer.
vaccine | heart_disease | + | In rare cases, the vaccine can trigger heart inflammation.
smoking | cancer | + | Smoking is the surest ticket to lung cancer, no two ways about it.
exercise | recovery | + | Getting back on your feet after surgery? Exercise is the magic bullet for recovery.
drug | recovery | - | Popping those pills without a doctor’s nod? That’s a one-way street away from recovery.
alcohol | mortality | + | Booze is basically pouring gasoline on your mortality odds.
sleep | depression | - | Skimping on sleep won’t just make you cranky—it’s a fast track to deeper depression.
diet | diabetes | + | A diet drowning in sugar is practically begging for diabetes.
stress | heart_disease | + | Chronic stress is a silent accomplice to heart disease, no doubt.
vaccine | infection | - | The jab is your best shield against infection, plain and simple.
smoking | none | none | Smoking doesn’t always lead to something—sometimes it’s a dead end.
exercise | heart_disease | - | Regular sweat sessions are the antidote to heart disease, hands down.
drug | none | none | Not every drug messes with your system—some just pass through.
alcohol | recovery | - | Hitting the bottle mid-rehab is like shooting yourself in the foot.
sleep | diabetes | - | Catching enough Zs keeps diabetes at bay, more often than not.
diet | cancer | + | A diet heavy on processed junk is a red carpet for cancer.
stress | depression | + | When stress piles up, depression isn’t far behind—it’s a domino effect.
vaccine | recovery | + | The vaccine can give your recovery a leg up, especially post-infection.
none | mortality | none | No cause means no change in mortality—it’s a null game.
smoking | diabetes | + | Lighting up regularly? That’s a surefire way to nudge diabetes closer.
exercise | depression | - | A good run can kick depression to the curb, at least for a while.
drug | heart_disease | + | Some meds are a double-edged sword—they can invite heart disease.
alcohol | infection | + | Booze weakens your defenses, making infection a bigger threat.
sleep | recovery | + | Sleep is the unsung hero of recovery—without it, you’re stuck.
diet | mortality | - | A clean diet can put the brakes on early mortality.
stress | infection | + | Stress opens the door for infection by tanking your immune system.
vaccine | cancer | - | The HPV shot slashes your risk of certain cancers, no exaggeration.
none | heart_disease | none | If there’s no trigger, heart disease doesn’t budge—zero effect.
smoking | recovery | - | Smoking during recovery is like trying to run with a broken leg.
exercise | cancer | - | Staying active can put up a fight against cancer, though it’s no guarantee.
drug | depression | + | Some prescription drugs can drag you into a depressive spiral.
alcohol | diabetes | + | Heavy drinking is a fast pass to messing with your blood sugar and diabetes.
sleep | heart_disease | - | Solid sleep is a buffer against heart disease—skimp and you pay.
diet | recovery | + | Eating right speeds up recovery, no question about it.
stress | mortality | + | Unchecked stress is a slow poison that raises mortality risk.
vaccine | diabetes | 0 | The vaccine doesn’t touch diabetes—it’s a non-factor.
none | infection | none | With no cause, infection rates stay flat—neutral ground.
smoking | depression | + | Smoking might feel like a crutch, but it actually worsens depression.
exercise | mortality | - | Regular exercise is a proven life extender, period.
drug | infection | - | Antibiotics are the go-to for beating back infection.
alcohol | recovery | 0 | A glass of wine here and there? It might not sway recovery either way.
sleep | cancer | - | Deep sleep could help keep cancer at bay, though it’s not a cure-all.
diet | heart_disease | - | A Mediterranean diet is a solid bet against heart disease.
stress | recovery | - | Stress is a wrench in the works of any recovery plan.
vaccine | mortality | - | Vaccines are a proven drag on mortality, especially for the vulnerable.
none | depression | none | No root cause, no shift in depression—it’s a stalemate.
smoking | heart_disease | + | Smoking is the number one culprit for heart disease, bar none.
exercise | diabetes | - | A daily walk can keep diabetes in check, plain and simple.
drug | mortality | + | Opioid misuse is a straight shot to higher mortality.
alcohol | depression | + | Drinking to numb the pain only deepens depression over time.
sleep | infection | - | Good sleep bolsters your immunity against infection.
diet | depression | - | A balanced diet can lift your mood and fend off depression.
stress | diabetes | + | Stress hormones can spike blood sugar, paving the way for diabetes.
vaccine | recovery | - | In rare cases, the vaccine might slow recovery if side effects hit hard.
none | cancer | none | No exposure, no extra cancer risk—it’s a blank slate.
smoking | infection | + | Smokers are more prone to respiratory infections, it’s a fact.
exercise | recovery | 0 | Too much exercise can backfire and stall recovery—balance is key.
drug | diabetes | + | Certain steroids can trigger diabetes, no sugarcoating it.
alcohol | heart_disease | + | Binge drinking is a fast track to heart disease, hands down.
sleep | mortality | - | Consistent sleep patterns are tied to lower mortality, studies show.
diet | infection | - | Nutrient-rich food can fortify you against infection.
stress | recovery | 0 | A little stress might push recovery, but too much derails it—it’s a toss-up.
vaccine | depression | 0 | The vaccine doesn’t mess with depression—it’s irrelevant.
none | recovery | none | No cause means recovery stays on its own course—no push, no pull.
smoking | mortality | + | Smoking is a death sentence in slow motion.
exercise | infection | - | Breaking a sweat can boost your immune system against infection.
drug | recovery | 0 | Some drugs are neutral—they don’t help or hurt recovery.
alcohol | cancer | + | Alcohol is a known carcinogen, straight up.
sleep | depression | + | Too much sleep can actually worsen depression—it’s a paradox.
diet | recovery | 0 | Not every diet change speeds recovery—some just maintain the status quo.
stress | heart_disease | 0 | If you handle stress well, it might not touch your heart at all.
vaccine | heart_disease | - | The flu shot can lower heart disease risk in some patients.
none | diabetes | none | No trigger, no diabetes shift—it’s a non-issue.
smoking | depression | 0 | For some, smoking doesn’t budge depression—it’s a neutral habit.
exercise | heart_disease | 0 | If you overdo it, exercise can strain your heart—neutral at best.
drug | infection | + | Immunosuppressants are an open invitation to infection.
alcohol | mortality | 0 | Light drinking might not nudge mortality either way.
sleep | recovery | 0 | Napping too much can actually delay recovery—it’s a fine line.
diet | cancer | - | A fiber-rich diet can lower cancer risk, though not entirely.
stress | diabetes | 0 | Short-term stress rarely triggers diabetes—it’s chronic that does.
vaccine | infection | + | In rare cases, a vaccine might mimic infection symptoms—temporary.
none | heart_disease | none | No cause, no change—heart disease risk stays put.
smoking | diabetes | 0 | Not every smoker gets diabetes—it’s a roll of the dice.
exercise | depression | 0 | For mild cases, exercise might not shift depression much.
drug | heart_disease | 0 | Some drugs are heart-neutral—they don’t tip the scales.
alcohol | infection | 0 | A single drink won’t swing infection risk—it’s negligible.
sleep | diabetes | + | Sleep deprivation is a known trigger for insulin resistance and diabetes.
diet | mortality | + | A junk-food diet is a fast lane to higher mortality.
stress | cancer | + | Chronic stress might fuel cancer growth, research hints.
vaccine | mortality | 0 | The vaccine doesn’t change mortality for everyone—it’s context-dependent.
smoking | recovery | 0 | Quitting smoking mid-recovery might not speed things up immediately.
exercise | mortality | 0 | Exercise in excess can backfire on mortality—moderation rules.
drug | depression | 0 | Some antidepressants don’t worsen depression—they’re designed not to.
alcohol | recovery | + | A small drink might aid relaxation and recovery in some cases.
sleep | infection | 0 | One bad night won’t tank your infection defenses—it’s cumulative.
diet | heart_disease | 0 | A single cheat meal won’t cause heart disease—it’s the pattern.
stress | infection | 0 | A stressful day rarely leads to infection—it’s long-term wear.
vaccine | diabetes | - | Some vaccines might lower diabetes risk by reducing infections.
none | recovery | none | Without intervention, recovery follows its own timeline.
smoking | cancer | 0 | Not every smoker gets cancer—it’s a risk, not a guarantee.
exercise | cancer | 0 | Exercise doesn’t cure cancer—it’s a preventive, not a treatment.
drug | mortality | 0 | A single dose of a safe drug won’t affect mortality.
alcohol | depression | 0 | A social drink might not touch depression—it depends on the person.
sleep | heart_disease | 0 | One sleepless night won’t cause heart disease—it’s chronic lack.
diet | depression | 0 | A single healthy meal won’t cure depression—it’s a long game.
stress | mortality | 0 | Acute stress can be harmless—it’s chronic that kills.
vaccine | recovery | 0 | The vaccine might not affect recovery if you’re already healthy.
none | infection | none | No exposure means no infection shift—it’s a clean slate.
smoking | heart_disease | 0 | Some smokers escape heart disease—genetics play a role.
exercise | diabetes | 0 | Exercise alone won’t reverse diabetes—it needs diet too.
drug | recovery | + | Painkillers can be a lifeline for recovery after surgery.
alcohol | heart_disease | 0 | A glass of red wine might not harm your heart—it’s debated.
sleep | cancer | 0 | Sleep alone won’t cause or prevent cancer—it’s one piece.
diet | infection | 0 | A single vitamin boost won’t stop infection—it’s about consistency.
stress | depression | 0 | Some people thrive under stress—depression isn’t automatic.
vaccine | cancer | 0 | The vaccine targets specific cancers—it’s not a blanket shield.
none | mortality | none | No cause, no mortality shift—it’s a baseline.
smoking | infection | 0 | A few cigarettes won’t guarantee infection—it’s about dose.
exercise | recovery | - | Overtraining can wreck recovery—it’s a common mistake.
drug | diabetes | 0 | Not all drugs spike blood sugar—some are neutral.
alcohol | diabetes | 0 | A single drink might not affect diabetes—it’s quantity that matters.
sleep | mortality | 0 | One bad night won’t kill you—it’s the pattern that counts.
diet | recovery | - | A poor diet can stall recovery—junk food is a culprit.
stress | heart_disease | - | Managed stress can actually protect your heart—it’s a paradox.
vaccine | depression | - | The vaccine might indirectly ease depression by reducing illness fear.
none | diabetes | none | No trigger means no diabetes change—it’s a neutral zone.
smoking | mortality | 0 | Quitting smoking doesn’t erase past damage—mortality risk lingers.
exercise | infection | 0 | Moderate exercise won’t guarantee infection prevention—it’s a boost.
drug | heart_disease | - | Statins are a proven way to cut heart disease risk.
alcohol | cancer | 0 | A rare drink won’t cause cancer—it’s chronic use that does.
sleep | depression | 0 | Sleep quality varies—one night won’t flip depression.
diet | cancer | 0 | A single antioxidant-rich meal won’t prevent cancer—it’s long-term.
stress | recovery | + | Some stress can motivate recovery—it’s a double-edged sword.
vaccine | heart_disease | 0 | The vaccine doesn’t directly affect heart disease—it’s indirect.
none | depression | none | No cause, no depression shift—it’s a steady state.
exercise | mortality | + | Extreme exercise can spike mortality risk in rare cases.
drug | infection | 0 | A single antibiotic dose might not clear infection—it needs a course.
alcohol | recovery | - | Heavy drinking during recovery is a recipe for setbacks.
sleep | heart_disease | + | Too much sleep is linked to higher heart disease risk—it’s a U-curve.
diet | diabetes | 0 | A single sugary snack won’t cause diabetes—it’s cumulative.
stress | cancer | 0 | Stress alone doesn’t cause cancer—it might promote it.
vaccine | infection | 0 | The vaccine isn’t 100%—some still get infection, though milder.
none | cancer | none | No carcinogen means no extra cancer risk—it’s baseline.
smoking | recovery | + | Quitting smoking can actually boost recovery speed.
exercise | depression | + | Over-exercising can trigger depression in some—it’s a fine line.
drug | mortality | - | Lifesaving drugs like insulin cut mortality, no debate.
alcohol | infection | - | Moderate alcohol might reduce some infection risks—controversial.
sleep | recovery | - | Oversleeping can delay recovery—it’s about balance.
diet | heart_disease | + | A high-salt diet is a direct path to heart disease.
stress | diabetes | - | Some stress can improve insulin sensitivity short-term—rare.
vaccine | mortality | + | In rare allergic cases, the vaccine might raise mortality risk.
none | heart_disease | none | No risk factor means no heart disease shift—it’s inert.
smoking | cancer | + | Not that I’m saying smoking isn’t dangerous, but you can’t pin every cancer case on it.
exercise | recovery | + | It’s not like exercise doesn’t speed up recovery, but it’s no magic bullet.
drug | depression | + | Even if drugs aren’t always the culprit, they can still drag you down into depression.
alcohol | heart_disease | + | You can’t deny that heavy drinking won’t hurt your heart, no matter how you spin it.
sleep | depression | - | Lack of sleep might not be the whole story, but it sure doesn’t help keep depression at bay.
diet | diabetes | - | A poor diet isn’t guaranteed to cause diabetes, but it’s not doing you any favors either.
stress | cancer | 0 | Stress probably doesn’t cause cancer directly, but it’s not like it’s harmless either.
vaccine | infection | - | Not to say vaccines are foolproof, but they cut down infection risk more than you think.
none | mortality | none | It’s not that nothing matters for mortality, but some things are way overblown.
smoking | mortality | + | I’m not saying smoking will kill you for sure, but it’s not like it’s a walk in the park.
exercise | depression | - | Even if exercise isn’t a cure-all, it’s hard to argue it doesn’t lift your mood.
drug | recovery | - | Drugs might not always slow recovery, but they rarely speed it up either.
alcohol | diabetes | + | You could argue a drink here and there won’t trigger diabetes, but it’s not risk-free.
sleep | cancer | 0 | Lack of sleep isn’t proven to cause cancer, but it’s not like it boosts your defenses.
diet | heart_disease | - | A junk food diet won’t automatically give you heart disease, but it’s no heart helper.
stress | recovery | - | Stress isn’t the only factor in recovery, but it doesn’t exactly roll out the red carpet.
vaccine | depression | 0 | Vaccines don’t cause depression, but it’s not like they’re a mood booster either.
none | infection | none | It’s not that nothing leads to infection, but sometimes you just get unlucky.
smoking | diabetes | + | Smoking might not be the main cause of diabetes, but it’s not off the hook.
exercise | mortality | - | Not exercising won’t kill you outright, but it’s not a longevity hack.
drug | heart_disease | + | Some drugs aren’t directly linked to heart disease, but they don’t help your ticker.
alcohol | depression | + | Even if alcohol isn’t a depression trigger for everyone, it’s no antidepressant.
sleep | recovery | + | You can’t say sleep doesn’t aid recovery, but it’s not the only player.
diet | cancer | 0 | Diet might not cause cancer, but it’s not like it’s irrelevant.
stress | diabetes | + | Stress isn’t a direct cause of diabetes, but it doesn’t lower your risk.
vaccine | mortality | - | Vaccines aren’t a guarantee against death, but they lower the odds.
none | heart_disease | none | It’s not that nothing triggers heart disease, but genetics play a huge role.
smoking | depression | + | Smoking isn’t a depression cure, but it’s not like it doesn’t mess with your head.
exercise | diabetes | - | Not exercising doesn’t mean you’ll get diabetes, but it’s a risk factor.
drug | infection | + | Drugs don’t always increase infection risk, but they can weaken your defenses.
alcohol | recovery | - | Alcohol might not slow recovery for everyone, but it’s no recovery aid.
sleep | heart_disease | - | Poor sleep isn’t a direct cause of heart disease, but it’s not heart-friendly.
diet | depression | - | A bad diet won’t necessarily cause depression, but it doesn’t lift your spirits.
stress | infection | + | Stress doesn’t directly cause infection, but it can lower your immune guard.
vaccine | recovery | + | Vaccines aren’t a recovery guarantee, but they help your body bounce back.
none | depression | none | It’s not that nothing causes depression, but it’s a complex beast.
smoking | infection | + | Smoking isn’t a direct infection vector, but it damages your lungs.
exercise | cancer | - | Exercise isn’t a cancer shield, but it’s not useless.
drug | mortality | + | Drugs aren’t always lethal, but they’re not a longevity tonic.
alcohol | cancer | + | Alcohol might not cause cancer in everyone, but it’s no health drink.
sleep | diabetes | - | Sleep deprivation isn’t a diabetes sentence, but it raises your risk.
diet | recovery | + | A good diet isn’t a recovery shortcut, but it helps.
stress | heart_disease | + | Stress isn’t a direct heart killer, but it’s a strain.
vaccine | diabetes | 0 | Vaccines don’t cause diabetes, but they’re not a treatment either.
none | recovery | none | It’s not that nothing affects recovery, but some things are random.
smoking | heart_disease | + | Smoking isn’t the only cause of heart disease, but it’s a big one.
exercise | infection | - | Exercise doesn’t prevent all infections, but it boosts immunity.
drug | cancer | + | Some drugs aren’t carcinogenic, but they’re not risk-free.
alcohol | mortality | + | Alcohol isn’t a death sentence, but it’s no life extender.
sleep | infection | - | Lack of sleep doesn’t guarantee infection, but it lowers defenses.
diet | mortality | + | Diet isn’t the sole factor for mortality, but it’s a big piece.
stress | depression | + | Stress might not cause depression outright, but it’s a trigger.
vaccine | heart_disease | 0 | Vaccines don’t affect heart disease directly, but they’re not irrelevant.
none | diabetes | none | It’s not that nothing causes diabetes, but lifestyle matters.
smoking | recovery | - | Smoking doesn’t always slow recovery, but it rarely helps.
exercise | heart_disease | - | Not exercising isn’t a heart disease guarantee, but it’s a risk.
drug | diabetes | + | Some drugs don’t cause diabetes, but they can mess with blood sugar.
alcohol | infection | + | Alcohol isn’t a direct infection cause, but it weakens immunity.
sleep | mortality | + | Poor sleep isn’t a direct killer, but it’s linked to higher risk.
diet | infection | + | A bad diet doesn’t cause infection, but it weakens your system.
stress | mortality | + | Stress isn’t a direct cause of death, but it wears you down.
vaccine | depression | 0 | Vaccines don’t cause depression, but they’re no mood lifter.
none | cancer | none | It’s not that nothing causes cancer, but it’s multifactorial.
smoking | diabetes | + | Smoking isn’t a diabetes cause for all, but it increases risk.
exercise | recovery | + | Exercise isn’t a recovery miracle, but it’s not a hindrance.
drug | heart_disease | + | Drugs don’t always harm the heart, but they’re not benign.
alcohol | depression | + | Alcohol isn’t a depression cause for everyone, but it’s a downer.
sleep | cancer | 0 | Sleep deprivation isn’t proven to cause cancer, but it’s not healthy.
diet | heart_disease | - | A poor diet doesn’t guarantee heart disease, but it’s a risk.
stress | recovery | - | Stress isn’t the only recovery blocker, but it doesn’t help.
vaccine | infection | - | Vaccines aren’t 100% effective, but they cut infection risk.
none | mortality | none | It’s not that nothing affects mortality, but chance plays a role.
smoking | cancer | + | Smoking isn’t the only cancer cause, but it’s a major one.
exercise | depression | - | Exercise isn’t a depression cure, but it’s a mood booster.
drug | recovery | - | Drugs don’t always hinder recovery, but they’re no help.
alcohol | heart_disease | + | Alcohol isn’t a direct heart disease cause, but it’s a risk.
sleep | depression | - | Lack of sleep isn’t the sole depression cause, but it worsens it.
diet | diabetes | - | A bad diet doesn’t guarantee diabetes, but it’s a factor.
stress | cancer | 0 | Stress isn’t a proven cancer cause, but it’s not harmless.
vaccine | recovery | + | Vaccines don’t guarantee recovery, but they aid the process.
none | infection | none | It’s not that nothing causes infection, but exposure matters.
smoking | mortality | + | Smoking isn’t always fatal, but it’s a major risk.
exercise | diabetes | - | Not exercising isn’t a diabetes sentence, but it raises risk.
drug | infection | + | Drugs don’t always cause infection, but they can weaken immunity.
alcohol | recovery | - | Alcohol isn’t a recovery aid, but it’s not always a problem.
sleep | heart_disease | - | Poor sleep isn’t a direct heart disease cause, but it’s linked.
diet | depression | - | A bad diet isn’t a depression trigger for all, but it doesn’t help.
stress | infection | + | Stress doesn’t directly cause infection, but it lowers defenses.
vaccine | mortality | - | Vaccines aren’t a death guarantee, but they reduce risk.
none | heart_disease | none | It’s not that nothing causes heart disease, but genetics play a role.
smoking | depression | + | Smoking isn’t a depression cure, but it’s a crutch for some.
exercise | cancer | - | Exercise isn’t a cancer prevention guarantee, but it helps.
drug | mortality | + | Drugs aren’t always lethal, but they’re a risk.
alcohol | cancer | + | Alcohol isn’t a direct cancer cause for all, but it’s linked.
sleep | diabetes | - | Sleep loss isn’t a diabetes cause, but it’s a risk factor.
diet | recovery | + | Good diet isn’t a recovery magic, but it supports healing.
stress | heart_disease | + | Stress isn’t the only heart disease cause, but it’s a strain.
vaccine | diabetes | 0 | Vaccines don’t cause diabetes, but they’re not a treatment.
none | recovery | none | It’s not that nothing affects recovery, but time heals.
smoking | infection | + | Smoking isn’t a direct infection cause, but it damages lungs.
exercise | mortality | - | Not exercising isn’t a death sentence, but it’s a risk.
drug | cancer | + | Some drugs aren’t carcinogenic, but they’re not safe.
alcohol | mortality | + | Alcohol isn’t a direct killer, but it’s a risk factor.
sleep | infection | - | Lack of sleep isn’t a guarantee of infection, but it weakens you.
diet | mortality | + | Diet isn’t the only mortality factor, but it’s big.
stress | depression | + | Stress isn’t the only depression cause, but it’s a trigger.
vaccine | heart_disease | 0 | Vaccines don’t affect heart disease, but they’re not irrelevant.
none | diabetes | none | It’s not that nothing causes diabetes, but lifestyle counts.
drug | diabetes | + | Some drugs don’t cause diabetes, but they can affect sugar.
alcohol | infection | + | Alcohol isn’t a direct infection cause, but it lowers immunity.
sleep | mortality | + | Poor sleep isn’t a direct killer, but it’s linked to risk.
diet | infection | + | Bad diet doesn’t cause infection, but it weakens defenses.
stress | mortality | + | Stress isn’t a direct death cause, but it wears you down.
vaccine | depression | 0 | Vaccines don’t cause depression, but they’re no mood boost.
none | cancer | none | It’s not that nothing causes cancer, but it’s complex.
diet | heart_disease | - | Poor diet doesn’t guarantee heart disease, but it’s a risk.
diet | diabetes | - | Bad diet doesn’t guarantee diabetes, but it’s a factor.
diet | depression | - | Bad diet isn’t a depression trigger for all, but it doesn’t help.
smoking | diabetes | + | Smoking isn’t a diabetes
smoking | cancer | + | Smoking's the big one that flat-out causes cancer, no two ways about it.
exercise | mortality | - | Getting your sweat on regularly really cuts down your chance of kicking the bucket early.
drug | recovery | - | Popping pills without a script? That'll mess up your recovery big time.
alcohol | heart_disease | + | Boozing heavy day in, day out is a surefire way to land yourself with heart disease.
sleep | depression | - | If you're not catching enough Z's, you're basically asking for depression to creep in.
diet | diabetes | + | A junk-food diet is like a one-way ticket to diabetes town.
stress | cancer | 0 | Stressing out over every little thing? That ain't directly giving you cancer, no proof yet.
vaccine | infection | - | Getting jabbed is your best bet against catching a nasty infection.
smoking | mortality | + | Lighting up like a chimney? That's a fast track to an early grave, period.
exercise | cancer | - | Hitting the gym ain't a cure-all, but it sure as hell slashes your cancer odds.
